section	task	mode	run	gold	metric	value
training_vs_gold	task2_1	soft	unsloth_qwen	EXIST2025_training_task2_1_gold_soft.json	ICMSoft	-3.1794
training_vs_gold	task2_1	soft	unsloth_qwen	EXIST2025_training_task2_1_gold_soft.json	ICMSoftNorm	0.0002
training_vs_gold	task2_1	soft	unsloth_qwen	EXIST2025_training_task2_1_gold_soft.json	CrossEntropy	0.0008
training_vs_gold	task2_2	hard	moondream	EXIST2025_training_task2_2_gold_hard.json	ICM	-1.4462
training_vs_gold	task2_2	hard	moondream	EXIST2025_training_task2_2_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_2	hard	moondream	EXIST2025_training_task2_2_gold_hard.json	FMeasure	0.001
training_vs_gold	task2_2	hard	qwen	EXIST2025_training_task2_2_gold_hard.json	ICM	-1.4454
training_vs_gold	task2_2	hard	qwen	EXIST2025_training_task2_2_gold_hard.json	ICMNorm	0.0001
training_vs_gold	task2_2	hard	qwen	EXIST2025_training_task2_2_gold_hard.json	FMeasure	0.0005
training_vs_gold	task2_2	hard	unsloth_gemma	EXIST2025_training_task2_2_gold_hard.json	ICM	-1.4465
training_vs_gold	task2_2	hard	unsloth_gemma	EXIST2025_training_task2_2_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_2	hard	unsloth_gemma	EXIST2025_training_task2_2_gold_hard.json	FMeasure	0.0
training_vs_gold	task2_2	hard	unsloth_qwen	EXIST2025_training_task2_2_gold_hard.json	ICM	-1.4465
training_vs_gold	task2_2	hard	unsloth_qwen	EXIST2025_training_task2_2_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_2	hard	unsloth_qwen	EXIST2025_training_task2_2_gold_hard.json	FMeasure	0.0
training_vs_gold	task2_2	soft	moondream	EXIST2025_training_task2_2_gold_soft.json	ICMSoft	-4.7773
training_vs_gold	task2_2	soft	moondream	EXIST2025_training_task2_2_gold_soft.json	ICMSoftNorm	0.0003
training_vs_gold	task2_2	soft	moondream	EXIST2025_training_task2_2_gold_soft.json	CrossEntropy	0.0043
training_vs_gold	task2_2	soft	qwen	EXIST2025_training_task2_2_gold_soft.json	ICMSoft	-4.7762
training_vs_gold	task2_2	soft	qwen	EXIST2025_training_task2_2_gold_soft.json	ICMSoftNorm	0.0004
training_vs_gold	task2_2	soft	qwen	EXIST2025_training_task2_2_gold_soft.json	CrossEntropy	0.0011
training_vs_gold	task2_2	soft	unsloth_gemma	EXIST2025_training_task2_2_gold_soft.json	ICMSoft	-4.7829
training_vs_gold	task2_2	soft	unsloth_gemma	EXIST2025_training_task2_2_gold_soft.json	ICMSoftNorm	0.0
training_vs_gold	task2_2	soft	unsloth_gemma	EXIST2025_training_task2_2_gold_soft.json	CrossEntropy	0.0058
training_vs_gold	task2_2	soft	unsloth_qwen	EXIST2025_training_task2_2_gold_soft.json	ICMSoft	-4.7829
training_vs_gold	task2_2	soft	unsloth_qwen	EXIST2025_training_task2_2_gold_soft.json	ICMSoftNorm	0.0
training_vs_gold	task2_2	soft	unsloth_qwen	EXIST2025_training_task2_2_gold_soft.json	CrossEntropy	0.0058
training_vs_gold	task2_3	hard	moondream	EXIST2025_training_task2_3_gold_hard.json	ICM	-2.4533
training_vs_gold	task2_3	hard	moondream	EXIST2025_training_task2_3_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_3	hard	moondream	EXIST2025_training_task2_3_gold_hard.json	FMeasure	0.0005
training_vs_gold	task2_3	hard	qwen	EXIST2025_training_task2_3_gold_hard.json	ICM	-2.4508
training_vs_gold	task2_3	hard	qwen	EXIST2025_training_task2_3_gold_hard.json	ICMNorm	0.0004
training_vs_gold	task2_3	hard	qwen	EXIST2025_training_task2_3_gold_hard.json	FMeasure	0.0012
training_vs_gold	task2_3	hard	unsloth_gemma	EXIST2025_training_task2_3_gold_hard.json	ICM	-2.4537
training_vs_gold	task2_3	hard	unsloth_gemma	EXIST2025_training_task2_3_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_3	hard	unsloth_gemma	EXIST2025_training_task2_3_gold_hard.json	FMeasure	0.0
training_vs_gold	task2_3	hard	unsloth_qwen	EXIST2025_training_task2_3_gold_hard.json	ICM	-2.4537
training_vs_gold	task2_3	hard	unsloth_qwen	EXIST2025_training_task2_3_gold_hard.json	ICMNorm	0.0
training_vs_gold	task2_3	hard	unsloth_qwen	EXIST2025_training_task2_3_gold_hard.json	FMeasure	0.0
training_vs_gold	task2_3	soft	moondream	EXIST2025_training_task2_3_gold_soft.json	ICMSoft	-9.5752
training_vs_gold	task2_3	soft	moondream	EXIST2025_training_task2_3_gold_soft.json	ICMSoftNorm	0.0
training_vs_gold	task2_3	soft	qwen	EXIST2025_training_task2_3_gold_soft.json	ICMSoft	-9.5744
training_vs_gold	task2_3	soft	qwen	EXIST2025_training_task2_3_gold_soft.json	ICMSoftNorm	0.0001
training_vs_gold	task2_3	soft	unsloth_gemma	EXIST2025_training_task2_3_gold_soft.json	ICMSoft	-9.5756
training_vs_gold	task2_3	soft	unsloth_gemma	EXIST2025_training_task2_3_gold_soft.json	ICMSoftNorm	0.0
training_vs_gold	task2_3	soft	unsloth_qwen	EXIST2025_training_task2_3_gold_soft.json	ICMSoft	-9.5756
training_vs_gold	task2_3	soft	unsloth_qwen	EXIST2025_training_task2_3_gold_soft.json	ICMSoftNorm	0.0
test_vs_baseline	task2_1	hard	1	majority_class_baseline	FMeasure	0.6854
test_vs_baseline	task2_1	hard	1	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_1	hard	1	majority_class_baseline	Recall	0.5214
test_vs_baseline	task2_1	hard	2	majority_class_baseline	FMeasure	0.6854
test_vs_baseline	task2_1	hard	2	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_1	hard	2	majority_class_baseline	Recall	0.5214
test_vs_baseline	task2_1	hard	3	majority_class_baseline	FMeasure	0.6662
test_vs_baseline	task2_1	hard	3	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_1	hard	3	majority_class_baseline	Recall	0.4995
test_vs_baseline	task2_1	soft	1	majority_class_baseline	MAE	0.5387
test_vs_baseline	task2_1	soft	1	majority_class_baseline	CrossEntropy	2.1961
test_vs_baseline	task2_1	soft	2	majority_class_baseline	MAE	0.5415
test_vs_baseline	task2_1	soft	2	majority_class_baseline	CrossEntropy	2.1937
test_vs_baseline	task2_1	soft	3	majority_class_baseline	MAE	0.604
test_vs_baseline	task2_1	soft	3	majority_class_baseline	CrossEntropy	2.1545
test_vs_baseline	task2_2	hard	1	majority_class_baseline	FMeasure	0.6474
test_vs_baseline	task2_2	hard	1	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_2	hard	1	majority_class_baseline	Recall	0.4786
test_vs_baseline	task2_2	hard	2	majority_class_baseline	FMeasure	0.6474
test_vs_baseline	task2_2	hard	2	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_2	hard	2	majority_class_baseline	Recall	0.4786
test_vs_baseline	task2_2	hard	3	majority_class_baseline	FMeasure	0.6671
test_vs_baseline	task2_2	hard	3	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_2	hard	3	majority_class_baseline	Recall	0.5005
test_vs_baseline	task2_2	soft	1	majority_class_baseline	MAE	0.5071
test_vs_baseline	task2_2	soft	1	majority_class_baseline	CrossEntropy	5.946
test_vs_baseline	task2_2	soft	2	majority_class_baseline	MAE	0.3479
test_vs_baseline	task2_2	soft	2	majority_class_baseline	CrossEntropy	5.1999
test_vs_baseline	task2_2	soft	3	majority_class_baseline	MAE	0.4998
test_vs_baseline	task2_2	soft	3	majority_class_baseline	CrossEntropy	5.7638
test_vs_baseline	task2_3	hard	1	majority_class_baseline	FMeasure	0.6474
test_vs_baseline	task2_3	hard	1	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_3	hard	1	majority_class_baseline	Recall	0.4786
test_vs_baseline	task2_3	hard	2	majority_class_baseline	FMeasure	0.6474
test_vs_baseline	task2_3	hard	2	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_3	hard	2	majority_class_baseline	Recall	0.4786
test_vs_baseline	task2_3	hard	3	majority_class_baseline	FMeasure	0.6474
test_vs_baseline	task2_3	hard	3	majority_class_baseline	Precision	1.0
test_vs_baseline	task2_3	hard	3	majority_class_baseline	Recall	0.4786
test_vs_baseline	task2_3	soft	1	majority_class_baseline	MAE	0.2013
test_vs_baseline	task2_3	soft	1	majority_class_baseline	CrossEntropy	5.3683
test_vs_baseline	task2_3	soft	2	majority_class_baseline	MAE	0.1898
test_vs_baseline	task2_3	soft	2	majority_class_baseline	CrossEntropy	1.7173
test_vs_baseline	task2_3	soft	3	majority_class_baseline	MAE	0.1898
test_vs_baseline	task2_3	soft	3	majority_class_baseline	CrossEntropy	1.7173
